Store No. ,Name,Lattitude,Longitude
57,"Athens, AL",34.776455,-86.930538
58,"Auburn, AL",32.55201,-85.526367
43,"Leeds, AL",33.543411,-86.587593
42,"Loxley, AL",30.63452,-87.676437
60,"Johnstown, CO",40.3339,-104.983101
47,"Daytona Beach, FL",29.2240259,-81.101037
46,"Saint Augustine, FL",29.978237,-81.472462
52,"Calhoun, GA",34.442153,-84.926273
51,"Warner Robins, GA",32.5843299,-83.7404409
55,"Richmond, KY",37.764867,-84.296913
56,"Smiths Grove, KY",37.03889847,-86.21133423
62,"Springfield, MO",37.299377,-93.324456
53,"Florence, SC",34.27238083,-79.70439911
50,"Crossville, TN",35.9795295,-85.0146872
45,"Sevierville, TN",35.963421,-83.617117
14,"Alvin, TX",29.433564,-95.228445
66,"Amarillo, TX",35.05122,-101.912853
13,"Angleton,TX",29.1848519,-95.4091253
21,"Angleton,TX",29.1560813,-95.4312814
25,"Angleton,TX",29.1644111,-95.4333131
28,"Bastrop, TX",30.1040688,-97.3039998
34,"Baytown, TX",29.800386,-94.9993161
3,"Brazoria, TX",29.054852,-95.570999
32,"Cypress, TX",29.9808056,-95.7182781
39,"Denton, TX",33.182122,-97.103088
24,"Eagle Lake, TX",29.586386,-96.331692
48,"Ennis, TX",32.338662,-96.618795
37,"Fort Worth, TX",33.024257,-97.278322
7,"Freeport, TX",28.981928,-95.337454
8,"Freeport, TX",28.9693807,-95.3708161
16,"Giddings, TX",30.179715,-96.9138617
59,"Hillsboro, TX",31.994397,-97.129905
40,"Katy, TX",29.7787125,-95.8475338
1,"Lake Jackson, TX",29.0406519,-95.4131704
2,"Lake Jackson, TX",29.063582,-95.439524
29,"Lake Jackson, TX",29.012905,-95.427846
23,"Leauge City, TX",29.4977671,-95.057313
17,"Luling, TX",29.51568,-97.461064
26,"Madisonville, TX",30.970828,-95.890751
44,"Melissa, TX",33.26554,-96.60239
22,"New Braunfels, TX",29.7263065,-98.0784023
19,"Pearland, TX",29.5603319,-95.2855506
20,"Pearland, TX",29.580836,-95.3918518
12,"Port Lavaca, TX",28.610177,-96.645065
31,"Richmond, TX",29.5525092,-95.6970407
38,"Royse City, TX",32.979237,-96.2952849
35,"Temple, TX",31.1361453,-97.3286143
36,"Terrell, TX",32.666549,-96.916226
33,"Texas City, TX",29.419373,-95.048861
18,"Waller, TX",30.058317,-95.933893
